temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total,place,city,state
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,65.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,67.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,67.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,68.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,68.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,68.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,68.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,67.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,65.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,66.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,64.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,62.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,52.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,53.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,54.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,55.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,56.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,57.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,58.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,59.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,60.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,61.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
,,,,,,,,,,,63.0,0.0,0.0,Tasek Ipoh,Ipoh,Perak
